,areaQ1,areaQ2,areaQ3,areaQ4,blobs,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,horizontalDiagQ1,horizontalDiagQ2,horizontalDiagQ3,horizontalDiagQ4,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4,verticalDiagQ1,verticalDiagQ2,verticalDiagQ3,verticalDiagQ4
12,121.5,148.0,4.0,99.0,4.0,P,40.311288741492746,38.2099463490856,44.68780594300866,38.897300677553446,16.492422502470642,18.0,2.8284271247461903,14.866068747318506,50.5269113779068,55.94112491607666,8.0,40.28427076339722,15.297058540778355,16.278820596099706,2.0,12.165525060596439
13,0.0,50.0,48.5,6.0,3.0,P,0.0,42.44997055358225,43.18564576337837,43.18564576337837,0.0,9.486832980505138,8.94427190999916,3.605551275463989,0.0,28.97056245803833,26.727921843528748,10.0,0.0,9.055385138137417,8.06225774829855,3.0
14,163.0,194.0,130.0,151.0,4.0,P,40.311288741492746,38.897300677553446,40.36087214122113,38.18376618407357,18.24828759089466,19.026297590440446,14.0,17.46424919657298,57.5979790687561,61.5979790687561,45.11269783973694,51.94112491607666,18.110770276274835,19.1049731745428,15.132745950421556,16.1245154965971
15,23.0,69.5,0.0,0.0,2.0,P,44.598206241955516,41.036569057366385,0.0,0.0,7.280109889280518,11.045361017187261,0.0,0.0,19.656854152679443,32.38477599620819,0.0,0.0,4.47213595499958,9.055385138137417,0.0,0.0
16,4.0,55.0,52.5,0.0,3.0,P,45.34313619501854,41.72529209005013,41.036569057366385,0.0,2.8284271247461903,9.219544457292887,9.219544457292887,0.0,8.0,28.14213538169861,28.727921843528748,0.0,2.0,8.0,8.0,0.0
17,83.5,98.0,65.0,69.0,4.0,P,41.72529209005013,40.311288741492746,41.773197148410844,38.897300677553446,12.083045973594572,11.045361017187261,10.04987562112089,10.816653826391969,35.21320307254791,47.79898953437805,31.79898953437805,32.97056245803833,11.180339887498949,17.26267650163207,10.04987562112089,11.180339887498949
18,26.0,24.5,88.5,84.5,4.0,P,44.553338819890925,43.18564576337837,38.948684188300895,38.897300677553446,5.385164807134504,6.708203932499369,11.045361017187261,11.661903789690601,19.656854152679443,19.071067690849304,39.21320307254791,35.21320307254791,6.082762530298219,5.0990195135927845,13.341664064126334,12.36931687685298
19,0.0,36.5,0.0,35.0,2.0,P,0.0,43.18564576337837,0.0,41.72529209005013,0.0,7.211102550927978,0.0,7.0,0.0,23.899494767189026,0.0,23.313708305358887,0.0,8.06225774829855,0.0,7.280109889280518
20,16.5,0.0,40.0,32.0,3.0,P,45.27692569068709,0.0,42.44997055358225,41.72529209005013,5.0,0.0,8.54400374531753,8.246211251235321,16.242640614509583,0.0,24.485281229019165,25.313708305358887,5.0,0.0,6.082762530298219,6.708203932499369
21,21.0,42.5,46.0,29.5,4.0,P,45.967379738244816,42.5205832509386,42.42640687119285,42.42640687119285,6.082762530298219,8.94427190999916,9.219544457292887,7.0,20.485281229019165,25.071067690849304,27.313708305358887,21.899494767189026,6.324555320336759,6.082762530298219,7.0,6.324555320336759
