whitePixels,blobDiameter,nBlobs,diagnostic
103,26.345519542694092,4,0
166,33.75029802322388,4,0
151,34.09679079055786,4,0
101,21.5998957157135,3,0
179,32.316667318344116,4,0
162,35.00880670547485,4,0
115,26.648180723190308,4,0
185,36.924864768981934,4,0
172,36.87783145904541,4,0
113,20.647871017456055,4,0
168,30.907147645950317,4,0
194,31.449868202209473,4,0
162,22.54921245574951,4,0
181,33.45309257507324,4,0
123,29.028985023498535,4,0
73,18.48214101791382,3,0
159,35.51682376861572,4,0
124,27.852051258087158,4,0
93,25.133513927459717,4,0
131,31.476937294006348,4,0
176,37.411542892456055,4,0
105,25.824272871017456,4,0
180,31.21200203895569,4,0
124,24.398126125335693,4,0
214,39.07799530029297,4,0
150,17.979849815368652,2,0
171,35.16557598114014,4,0
240,37.879104137420654,4,0
166,36.00494432449341,4,0
146,32.9040002822876,4,0
200,26.412002086639404,4,0
139,26.1984224319458,3,0
156,27.7213077545166,4,0
191,30.623965978622437,4,0
173,33.80177021026611,4,0
108,22.109609127044678,4,0
160,31.159698486328125,4,0
96,27.778090476989746,4,0
238,34.22137665748596,4,0
150,29.47431516647339,3,0
125,29.074073791503906,4,0
178,37.89262104034424,4,0
128,30.43071985244751,4,0
108,26.98092293739319,4,0
82,16.27418565750122,2,0
236,17.503966569900513,3,0
188,38.31418800354004,4,0
194,28.588391065597534,4,0
184,28.78659749031067,4,0
148,33.26513862609863,4,0
186,38.895263671875,4,0
116,23.752592086791992,3,0
206,38.18704128265381,4,0
191,28.064220428466797,3,0
136,28.3561532497406,4,0
198,37.89935302734375,4,0
158,34.714903354644775,4,0
112,26.85269856452942,4,0
166,34.73809242248535,4,0
119,24.928194999694824,3,0
133,27.038236141204834,4,0
317,34.81343173980713,3,0
85,26.626105308532715,4,0
96,27.005388736724854,4,0
192,34.69673538208008,4,0
88,25.469555377960205,4,0
111,28.761960983276367,4,0
163,35.7154016494751,4,0
90,24.674652814865112,4,0
89,26.546384572982788,4,0
136,31.19735622406006,4,0
154,34.33314657211304,4,0
127,27.973944664001465,4,0
307,32.70888137817383,3,0
159,35.482686042785645,4,0
132,28.71750020980835,4,0
308,31.070748329162598,4,0
44,14.41308856010437,3,0
145,33.941070556640625,4,0
118,27.52555799484253,4,0
142,31.833287715911865,4,0
249,33.436939001083374,4,0
217,39.64665126800537,4,0
187,33.84323811531067,4,0
172,33.846213817596436,4,0
94,20.658215522766113,3,0
151,33.50946235656738,4,0
341,36.5590341091156,4,0
231,40.405640602111816,4,0
301,36.25906848907471,4,0
251,33.7613410949707,4,0
193,37.92296504974365,4,0
245,43.07766151428223,4,0
174,33.25045347213745,4,0
199,37.996620655059814,4,0
68,20.157272815704346,3,0
218,38.938897132873535,4,0
156,33.352309703826904,4,0
125,25.791255712509155,4,0
99,25.592735290527344,4,0
151,32.12787485122681,4,0
133,21.9799485206604,3,0
102,24.86635136604309,4,0
115,26.95796823501587,4,0
21,6.624319076538086,1,0
42,12.016204118728638,2,0
16,7.846426248550415,2,0
78,22.674034357070923,4,0
106,23.937347412109375,3,0
24,12.149768590927124,3,0
93,22.26488208770752,3,0
117,15.104129076004028,3,0
73,23.018652200698853,4,0
98,23.73138952255249,3,0
100,20.90227699279785,3,0
34,13.838265419006348,3,0
84,22.406019687652588,3,0
91,23.757673978805542,4,0
37,16.630127906799316,4,0
92,22.940546989440918,3,0
99,22.178248405456543,3,0
65,17.67682123184204,3,0
88,21.95272922515869,3,0
3,2.9554388523101807,1,0
10,4.610671520233154,1,0
142,31.668724060058594,4,0
3,2.9554388523101807,1,0
81,24.32680654525757,4,0
118,25.357025623321533,3,0
138,29.829866647720337,4,0
162,35.0785756111145,4,0
144,29.981446266174316,4,0
157,32.92897939682007,4,0
173,35.15052795410156,4,0
132,30.183382987976074,4,0
149,32.78464889526367,4,0
182,36.32373666763306,4,0
106,27.19363570213318,4,0
26,9.82233214378357,2,0
149,23.146820068359375,3,0
225,30.621427536010742,3,0
65,21.111358642578125,4,0
75,21.04245615005493,3,0
221,30.418368816375732,3,0
49,14.026100158691406,2,0
70,16.721754550933838,2,0
240,25.62137269973755,4,0
8,4.002221584320068,1,0
0,0.0,0,0
3,2.9554388523101807,1,0
0,0.0,0,0
28,9.842225790023804,2,0
0,0.0,0,0
0,0.0,0,0
0,0.0,0,0
17,5.1918840408325195,1,0
24,9.38022518157959,2,0
72,20.329652070999146,3,0
18,8.504154920578003,2,0
8,4.303342342376709,1,0
38,7.2714149951934814,2,0
154,35.0504846572876,4,0
3,2.9554388523101807,1,0
52,17.151214122772217,3,0
21,6.496578693389893,1,0
113,30.221240520477295,4,0
71,16.483245372772217,2,0
124,30.70663356781006,4,0
199,36.11884593963623,4,0
178,36.41815805435181,4,0
207,30.30639100074768,4,0
154,32.907533168792725,4,0
104,22.22176456451416,3,0
140,31.796926975250244,4,0
285,43.98828411102295,4,0
175,34.26221036911011,4,0
133,29.541531801223755,4,0
292,44.64155673980713,4,0
188,36.00321912765503,4,0
238,33.55275750160217,4,0
200,24.22046709060669,4,0
180,36.175063610076904,4,0
209,39.74453163146973,4,0
161,32.94988298416138,4,0
163,22.341246128082275,3,0
229,41.265310287475586,4,0
145,24.953233003616333,4,0
168,29.880245685577393,4,0
218,39.85879325866699,4,0
172,35.10732841491699,4,0
