blobs,totalWhitePixels,distanceQ1,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,solidity1,distanceQ2,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,solidity2,distanceQ3,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,solidity3,distanceQ4,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,solidity4,diagnostic
4.0,255.0,45.254833995939045,71.0,34.97056221961975,11.045361017187261,10.0,0.8930817610062893,45.27692569068709,19.0,17.656854152679443,5.385164807134504,7.0710678118654755,0.95,43.86342439892262,70.5,34.38477599620819,11.045361017187261,11.180339887498949,0.9038461538461539,44.598206241955516,25.0,20.485281109809875,6.708203932499369,6.082762530298219,0.9615384615384616,1.0
4.0,685.0,41.72529209005013,155.0,47.94112503528595,16.278820596099706,15.811388300841896,0.96875,38.897300677553446,177.5,57.3553386926651,18.110770276274835,18.0,0.8700980392156863,43.86342439892262,72.5,37.55634891986847,10.0,11.704699910719626,0.8579881656804734,38.897300677553446,165.5,54.183765292167664,17.029386365926403,18.110770276274835,0.8897849462365591,1.0
4.0,357.0,44.598206241955516,54.0,34.14213514328003,7.615773105863909,11.180339887498949,0.8571428571428571,42.42640687119285,83.0,37.79898953437805,11.0,11.40175425099138,0.9222222222222223,42.44997055358225,99.0,38.62741672992706,12.0,12.36931687685298,0.9565217391304348,43.139309220245984,37.5,25.899494767189026,8.246211251235321,7.280109889280518,0.9036144578313253,1.0
3.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,46.010868281309364,16.0,16.82842707633972,5.0,6.4031242374328485,0.9142857142857143,43.840620433565945,43.0,32.14213538169861,8.06225774829855,10.770329614269007,0.819047619047619,43.86342439892262,31.5,23.071067690849304,8.06225774829855,6.082762530298219,0.9545454545454546,1.0
4.0,551.0,43.139309220245984,84.0,37.79898929595947,12.041594578792296,11.180339887498949,0.8983957219251337,39.59797974644666,176.5,63.35533857345581,19.026297590440446,19.026297590440446,0.7809734513274337,43.139309220245984,67.0,33.79898929595947,9.219544457292887,11.40175425099138,0.9115646258503401,39.59797974644666,123.0,49.455843448638916,15.132745950421556,15.297058540778355,0.8367346938775511,1.0
3.0,183.0,43.18564576337837,80.5,37.55634903907776,8.54400374531753,13.341664064126334,0.936046511627907,0.0,0.0,0.0,0.0,0.0,0.0,46.010868281309364,11.0,14.828427076339722,4.123105625617661,5.656854249492381,0.8461538461538461,43.93176527297759,26.5,20.242640614509583,5.0990195135927845,6.708203932499369,0.9814814814814815,1.0
4.0,386.0,45.967379738244816,55.0,30.97056245803833,9.848857801796104,10.04987562112089,0.9090909090909091,42.44997055358225,92.0,37.455843567848206,11.0,13.038404810405298,0.9633507853403142,41.72529209005013,116.0,44.28427064418793,14.035668847618199,14.035668847618199,0.90625,43.86342439892262,40.0,25.313708305358887,8.06225774829855,8.0,0.963855421686747,1.0
4.0,673.0,41.72529209005013,151.0,53.94112479686737,17.029386365926403,17.26267650163207,0.8365650969529086,39.59797974644666,147.0,53.94112455844879,18.110770276274835,15.033296378372908,0.8448275862068966,41.036569057366385,119.5,42.870057106018066,14.035668847618199,13.152946437965905,0.9446640316205533,38.897300677553446,138.5,50.52691161632538,16.0312195418814,16.278820596099706,0.8629283489096573,1.0
4.0,568.0,42.42640687119285,100.5,38.3847758769989,13.152946437965905,10.198039027185569,0.9710144927536232,42.44997055358225,76.5,36.38477599620819,10.04987562112089,12.041594578792296,0.884393063583815,41.036569057366385,141.0,47.11269819736481,15.297058540778355,15.033296378372908,0.9463087248322147,38.897300677553446,157.0,49.94112479686737,16.0,16.492422502470642,0.9345238095238095,1.0
3.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,43.139309220245984,80.5,37.21320283412933,13.038404810405298,10.295630140987,0.9415204678362573,44.553338819890925,41.5,25.899494647979736,7.280109889280518,9.433981132056603,0.9325842696629213,42.42640687119285,72.0,31.798989415168762,10.44030650891055,10.04987562112089,0.993103448275862,1.0
4.0,373.0,44.553338819890925,70.0,32.97056245803833,10.198039027185569,10.04987562112089,0.958904109589041,44.553338819890925,47.5,27.55634903907776,9.219544457292887,10.0,0.9595959595959596,42.44997055358225,86.0,37.79898941516876,10.04987562112089,13.152946437965905,0.9148936170212766,41.72529209005013,70.0,34.97056257724762,10.198039027185569,11.180339887498949,0.89171974522293,1.0
4.0,421.0,43.840620433565945,73.0,32.97056233882904,9.486832980505138,11.045361017187261,0.9733333333333334,42.44997055358225,86.5,36.38477575778961,10.04987562112089,12.165525060596439,0.9453551912568307,42.42640687119285,101.0,40.62741672992706,11.045361017187261,14.0,0.926605504587156,42.42640687119285,80.5,39.21320295333862,10.198039027185569,13.038404810405298,0.8609625668449198,1.0
4.0,186.0,46.69047011971501,10.0,12.828427076339722,4.123105625617661,3.1622776601683795,0.9523809523809523,45.34313619501854,18.0,16.82842707633972,5.0,6.4031242374328485,1.0,43.840620433565945,48.5,28.727921724319458,6.708203932499369,10.44030650891055,0.97,43.840620433565945,34.0,27.313708305358887,9.433981132056603,8.06225774829855,0.8292682926829268,1.0
4.0,520.0,43.840620433565945,71.0,32.14213514328003,9.055385138137417,10.198039027185569,0.9726027397260274,38.897300677553446,166.5,58.52691102027893,18.110770276274835,18.0,0.830423940149626,43.86342439892262,54.0,30.14213538169861,8.94427190999916,10.770329614269007,0.9310344827586207,39.59797974644666,118.5,48.041629672050476,14.035668847618199,15.524174696260024,0.8345070422535211,1.0
4.0,332.0,43.86342439892262,72.5,34.72792184352875,8.94427190999916,12.36931687685298,0.9539473684210527,41.036569057366385,124.5,48.87005698680878,12.041594578792296,18.027756377319946,0.8469387755102041,45.27692569068709,17.5,18.242640614509583,5.385164807134504,7.0710678118654755,0.875,44.598206241955516,25.0,19.656854033470154,5.0990195135927845,6.082762530298219,1.0,1.0
4.0,291.0,43.840620433565945,63.5,32.72792184352875,9.055385138137417,10.198039027185569,0.9071428571428571,44.553338819890925,42.5,25.899494767189026,8.94427190999916,9.899494936611665,0.9770114942528736,43.840620433565945,60.5,32.72792184352875,9.486832980505138,11.180339887498949,0.8832116788321168,42.44997055358225,48.0,31.313708305358887,11.0,9.219544457292887,0.9056603773584906,1.0
