,areaQ1,areaQ2,areaQ3,areaQ4,blobs,contourEdgesQ1,contourEdgesQ2,contourEdgesQ3,contourEdgesQ4,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,marker,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4
853,3.0,0.0,5.0,0.0,2.0,6.0,0.0,6.0,0.0,N,43.93176527297759,-1.0,44.553338819890925,-1.0,CFP10,6.828427076339722,0.0,8.828427076339722,0.0
854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
855,6.0,5.0,16.5,50.5,4.0,7.0,8.0,5.0,5.0,N,45.34313619501854,44.553338819890925,43.86342439892262,41.72529209005013,ESAT6,10.828427076339722,10.828427076339722,16.242640614509583,27.55634868144989
856,19.5,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,N,44.553338819890925,-1.0,-1.0,-1.0,CFP10,19.899494767189026,0.0,0.0,0.0
857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
858,12.0,15.5,0.0,0.0,2.0,6.0,4.0,0.0,0.0,N,44.553338819890925,45.254833995939045,-1.0,-1.0,ESAT6,18.485281109809875,17.899494767189026,0.0,0.0
859,0.0,18.0,29.0,0.0,2.0,0.0,5.0,5.0,0.0,N,-1.0,43.840620433565945,41.72529209005013,-1.0,CFP10,0.0,20.485281109809875,21.656854152679443,0.0
860,9.5,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,N,45.254833995939045,-1.0,-1.0,-1.0,RV1681,15.071067571640015,0.0,0.0,0.0
861,14.0,101.5,0.0,17.0,3.0,7.0,4.0,0.0,5.0,P,43.840620433565945,38.18376618407357,-1.0,45.254833995939045,ESAT6,17.656854152679443,48.041629910469055,0.0,18.485281229019165
862,0.0,0.0,0.0,44.5,1.0,0.0,0.0,0.0,7.0,P,-1.0,-1.0,-1.0,42.42640687119285,CFP10,0.0,0.0,0.0,25.899494767189026
863,50.5,26.0,0.0,62.5,3.0,5.0,5.0,0.0,4.0,P,41.72529209005013,43.139309220245984,-1.0,41.012193308819754,RV1681,27.55634891986847,20.485281229019165,0.0,31.213203072547913
864,0.0,0.0,16.5,0.0,1.0,0.0,0.0,4.0,0.0,P,-1.0,-1.0,45.254833995939045,-1.0,ESAT6,0.0,0.0,18.727921724319458,0.0
865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
866,0.0,10.0,0.0,26.0,2.0,0.0,6.0,0.0,5.0,P,-1.0,44.553338819890925,-1.0,44.553338819890925,RV1681,0.0,13.656854152679443,0.0,21.313708305358887
867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
868,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,N,45.967379738244816,-1.0,-1.0,-1.0,CFP10,11.656854152679443,0.0,0.0,0.0
869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
870,0.0,6.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,N,-1.0,45.967379738244816,-1.0,-1.0,ESAT6,0.0,11.656854152679443,0.0,0.0
871,5.5,4.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,N,45.27692569068709,44.598206241955516,-1.0,-1.0,CFP10,9.41421353816986,8.828427076339722,0.0,0.0
872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
873,18.5,50.5,27.5,22.0,4.0,6.0,4.0,6.0,4.0,N,45.27692569068709,43.139309220245984,43.86342439892262,44.553338819890925,ESAT6,20.727921724319458,29.55634868144989,26.727921843528748,19.656854152679443
874,30.0,0.0,15.0,0.0,2.0,5.0,0.0,6.0,0.0,N,43.139309220245984,-1.0,43.86342439892262,-1.0,CFP10,25.313708305358887,0.0,21.656854152679443,0.0
875,0.0,25.0,0.0,22.0,2.0,0.0,6.0,0.0,5.0,N,-1.0,43.840620433565945,-1.0,43.93176527297759,RV1681,0.0,21.313708305358887,0.0,18.485281109809875
876,24.0,0.0,48.0,50.5,3.0,7.0,0.0,5.0,5.0,P,43.86342439892262,-1.0,42.44997055358225,42.42640687119285,ESAT6,20.485281229019165,0.0,28.97056221961975,27.55634868144989
877,5.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,P,45.254833995939045,-1.0,-1.0,-1.0,CFP10,15.656854152679443,0.0,0.0,0.0
878,14.0,0.0,11.0,0.0,2.0,4.0,0.0,5.0,0.0,P,45.27692569068709,-1.0,44.598206241955516,-1.0,RV1681,15.656854152679443,0.0,13.656854152679443,0.0
879,9.5,0.0,0.0,52.0,2.0,6.0,0.0,0.0,5.0,N,44.598206241955516,-1.0,-1.0,42.42640687119285,ESAT6,12.242640614509583,0.0,0.0,26.97056221961975
880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
881,0.0,38.5,0.0,0.0,1.0,0.0,6.0,0.0,0.0,N,-1.0,43.139309220245984,-1.0,-1.0,RV1681,0.0,28.3847758769989,0.0,0.0
882,0.0,8.5,13.5,81.5,3.0,0.0,5.0,7.0,5.0,N,-1.0,45.27692569068709,44.553338819890925,41.012193308819754,ESAT6,0.0,15.071067571640015,17.071067571640015,44.041630148887634
883,25.5,10.0,3.5,11.0,4.0,6.0,4.0,5.0,4.0,N,44.553338819890925,45.254833995939045,46.09772228646444,44.598206241955516,CFP10,22.727921724319458,16.485281109809875,7.414213538169861,14.828427076339722
884,17.0,14.5,11.5,0.0,3.0,5.0,7.0,5.0,0.0,N,45.254833995939045,45.967379738244816,45.27692569068709,-1.0,RV1681,22.485281109809875,21.899494767189026,15.071067690849304,0.0
885,45.0,5.0,18.0,5.0,4.0,6.0,6.0,5.0,6.0,N,43.139309220245984,45.27692569068709,42.5205832509386,45.27692569068709,ESAT6,29.798989415168762,8.828427076339722,17.656854152679443,9.656854152679443
886,3.0,0.0,23.5,0.0,2.0,6.0,0.0,5.0,0.0,N,45.27692569068709,-1.0,43.86342439892262,-1.0,CFP10,6.828427076339722,0.0,21.071067690849304,0.0
887,5.0,0.0,0.0,16.5,2.0,7.0,0.0,0.0,4.0,N,45.34313619501854,-1.0,-1.0,44.553338819890925,RV1681,10.828427076339722,0.0,0.0,17.899494767189026
888,8.0,0.0,27.5,49.5,3.0,6.0,0.0,5.0,6.0,N,45.34313619501854,-1.0,43.840620433565945,43.139309220245984,ESAT6,11.656854152679443,0.0,21.55634880065918,28.727921724319458
889,20.5,0.0,3.5,0.0,2.0,4.0,0.0,5.0,0.0,N,44.553338819890925,-1.0,45.34313619501854,-1.0,CFP10,21.899494767189026,0.0,7.414213538169861,0.0
890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
891,16.5,15.5,0.0,0.0,2.0,4.0,4.0,0.0,0.0,N,45.254833995939045,45.967379738244816,-1.0,-1.0,ESAT6,19.899494767189026,18.727921843528748,0.0,0.0
892,3.0,17.5,51.5,0.0,3.0,6.0,5.0,7.0,0.0,N,45.34313619501854,44.553338819890925,42.42640687119285,-1.0,CFP10,6.828427076339722,19.071067690849304,27.55634868144989,0.0
