totalWhitePixels,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,diagnostic
233.0,61.0,32.97056245803833,10.44030650891055,10.0,23.5,19.899494647979736,6.708203932499369,8.48528137423857,60.0,34.14213514328003,10.04987562112089,10.770329614269007,15.0,15.656854152679443,5.0990195135927845,4.0,1.0
597.0,132.0,48.28427004814148,15.297058540778355,15.811388300841896,166.0,55.94112515449524,17.029386365926403,18.0,45.5,28.727921843528748,9.219544457292887,10.0,132.5,48.52691090106964,15.132745950421556,16.278820596099706,1.0
322.0,44.5,31.55634880065918,8.06225774829855,10.198039027185569,68.0,34.97056245803833,10.04987562112089,11.180339887498949,84.5,36.3847758769989,11.0,11.40175425099138,37.0,25.313708305358887,8.54400374531753,7.280109889280518,1.0
116.0,0.0,0.0,0.0,0.0,14.0,15.656854152679443,5.0,6.4031242374328485,32.0,30.14213526248932,8.06225774829855,9.848857801796104,17.5,16.242640614509583,4.123105625617661,5.0990195135927845,1.0
499.0,79.0,33.79898929595947,11.045361017187261,10.198039027185569,142.5,60.870057106018066,17.029386365926403,18.0,56.5,30.727921843528748,8.06225774829855,10.770329614269007,113.0,46.284271001815796,14.142135623730951,15.297058540778355,1.0
280.0,65.5,34.38477611541748,8.54400374531753,12.36931687685298,118.5,51.35533821582794,13.038404810405298,18.0,0.0,0.0,0.0,0.0,18.5,18.242640614509583,5.656854249492381,6.082762530298219,1.0
356.0,42.0,29.313708186149597,8.246211251235321,9.0,93.5,39.21320283412933,11.045361017187261,13.0,91.5,37.21320307254791,11.045361017187261,12.165525060596439,28.5,24.727921843528748,8.602325267042627,8.06225774829855,1.0
596.0,116.5,43.69848394393921,13.152946437965905,15.524174696260024,128.5,52.870057582855225,18.110770276274835,14.0,102.5,42.8700567483902,15.132745950421556,12.041594578792296,122.0,48.28427064418793,14.035668847618199,16.278820596099706,1.0
498.0,80.0,34.97056221961975,12.165525060596439,9.486832980505138,67.0,32.97056257724762,9.055385138137417,11.045361017187261,123.5,44.52691125869751,14.317821063276353,15.033296378372908,132.5,45.35533845424652,15.132745950421556,15.524174696260024,1.0
224.0,18.5,17.071067571640015,5.830951894845301,5.0,74.0,33.79898929595947,11.0,10.44030650891055,0.0,0.0,0.0,0.0,62.5,31.55634880065918,10.0,9.055385138137417,1.0
333.0,68.0,33.79898953437805,10.198039027185569,11.045361017187261,38.5,25.55634903907776,8.54400374531753,10.0,73.0,33.79898953437805,9.055385138137417,12.041594578792296,63.5,34.38477575778961,9.486832980505138,11.180339887498949,1.0
394.0,58.5,30.727921843528748,9.219544457292887,9.055385138137417,72.5,32.3847758769989,9.055385138137417,11.180339887498949,90.0,42.62741696834564,11.045361017187261,14.035668847618199,82.5,48.041630268096924,10.198039027185569,17.11724276862369,1.0
114.0,0.0,0.0,0.0,0.0,15.0,15.656854152679443,5.385164807134504,6.4031242374328485,32.5,28.72792160511017,7.211102550927978,9.486832980505138,11.5,13.41421353816986,3.0,4.47213595499958,1.0
508.0,69.5,33.55634880065918,10.04987562112089,10.198039027185569,156.5,59.35533845424652,18.110770276274835,18.0,57.0,32.97056233882904,8.06225774829855,11.180339887498949,119.0,46.284271240234375,14.035668847618199,15.297058540778355,1.0
281.0,63.5,34.38477611541748,8.54400374531753,12.36931687685298,105.5,47.69848418235779,11.045361017187261,17.029386365926403,8.0,10.828427076339722,3.1622776601683795,4.242640687119285,12.5,14.242640614509583,4.47213595499958,4.123105625617661,1.0
233.0,43.0,28.485281229019165,7.615773105863909,9.055385138137417,37.0,26.14213526248932,8.94427190999916,10.0,38.5,34.72792172431946,8.246211251235321,10.770329614269007,43.5,28.72792160511017,9.055385138137417,7.0710678118654755,1.0
248.0,0.0,0.0,0.0,0.0,58.5,35.21320307254791,8.246211251235321,12.041594578792296,47.0,26.14213526248932,7.615773105863909,9.486832980505138,81.5,38.38477575778961,11.045361017187261,12.165525060596439,1.0
178.0,28.0,26.485281229019165,8.06225774829855,8.06225774829855,23.0,18.485281109809875,6.324555320336759,7.0710678118654755,10.0,12.828427076339722,3.1622776601683795,5.0,24.5,21.899494767189026,7.615773105863909,6.324555320336759,1.0
678.0,139.5,48.52691102027893,16.1245154965971,15.524174696260024,164.0,56.76955223083496,17.029386365926403,18.0,127.5,44.52691102027893,15.132745950421556,14.0,136.0,45.94112503528595,15.132745950421556,15.524174696260024,1.0
246.0,43.5,28.727921843528748,8.54400374531753,9.0,0.0,0.0,0.0,0.0,50.0,32.97056210041046,10.04987562112089,9.848857801796104,76.0,46.62741661071777,10.198039027185569,16.278820596099706,1.0
210.0,38.5,29.55634880065918,9.219544457292887,8.06225774829855,36.5,27.55634868144989,8.06225774829855,9.848857801796104,0.0,0.0,0.0,0.0,73.5,36.38477575778961,10.198039027185569,11.180339887498949,1.0
361.0,109.5,46.87005686759949,13.038404810405298,16.278820596099706,94.5,48.041630268096924,18.110770276274835,10.44030650891055,42.0,26.14213526248932,8.54400374531753,9.433981132056603,29.0,23.313708186149597,7.211102550927978,8.06225774829855,1.0
